,,Spelling Error Legend:,Needs !? or .,Double blanks,Double blank?,"and and, the the"
,,,,,,
info_ui_miner_replicator_construction_queue,[OUTDATED]Construction Queue,,,,,
info_ui_miner_replicator_recruit_header,[OUTDATED]Recruit,,,,,
info_ui_miner_replicator_cost_header,[OUTDATED]Recruitment Cost,,,,,
info_ui_miner_replicator_recruit_tooltip,[OUTDATED]Press to recruit a miner of this type.,,,,,
info_ui_miner_replicator_cost_tooltip,[OUTDATED]This displays the cost of recruiting one miner.,,,,,
info_ui_miner_replicator_current_recruits_header,[OUTDATED]Current Recruits,,,,,
info_ui_miner_replicator_current_recruits_tooltips,[OUTDATED]Here you can see how many recruits you have and what your maximum capacity is.,,,,,
,,,,,,
info_ui_next_mineshaft_unlocked_state,"Шахта функционирует, и исследование Шахты разблокировано!",,,,,
,,,,,,
info_ui_collector_input_abundancy,Input Abundancy,,,,,
,,,,,,
info_ui_add_item_window_desc,Здесь вы можете управлять и размещать предметы в вашем здании.<br><br>Каждый тип здания имеет набор определенных предметов которые им подходят.,,,,,
info_ui_add_item_window_visit_train_station,"Почему бы не посетить железнодорожную станцию, чтобы узнать какие предметы выставлены на продажу?",,,,,
,,,,,,
info_ui_cosmodrome_step_done_collect_parts,Собрать Детали Ракеты,,,,,
info_ui_cosmodrome_step_done_fuel,Заправить Ракету,,,,,
info_ui_cosmodrome_step_todo_collect_parts,1. Собрать Детали Ракеты,,,,,
info_ui_cosmodrome_step_todo_fuel,2. Заправить Ракету,,,,,
info_ui_cosmodrome_step_todo_launch,3: Запустить Ракету,,,,,
info_ui_cosmodrome_button_launch,Пуск ракеты,,,,,
,,,,,,
info_ui_items_slots,Слоты для предметов,,,,,
info_ui_items_slotted_to_me,Выбрано,,,,,
info_ui_items_no_items,Нет Доступных Предметов!,,,,,
info_ui_items_promt_equiped_to_other,Этот предмет экипировали где-то еще!<br><br>Вы все еще хотите его экипировать?,,,,,
info_ui_items_promt_no_free_slot,У вас нет свободных слотов для экипировки другого предмета!,,,,,
,,,,,,
info_ui_farm_fields,Поля,,,,,
info_ui_farm_moisture_farm_plant,Разместить поля,,,,,
info_ui_farm_cattle_farm_plant,Фермерские поля,,,,,
,,,,,,
info_ui_blueprint_available,[OUTDATED]Available blueprints,,,,,
info_ui_blueprint_cant_afford,[OUTDATED]You can not afford to research this!<br><br>Missing Resources:,,,,,
info_ui_blueprint_researched_by_other,[OUTDATED]This blueprint is being reserached by another workshop!<br><br>Should this Workshop take over?,,,,,
,,,,,,
info_ui_residential_workforce_generation,Кадры,,,,,
info_ui_residential_need_fulfilled_tooltip,Потребность {0} удовлетворена.,,,,,
,,,,,,
info_ui_top_bar_build_resources_tooltip,"Это все ваши <color=#000C3A><u>Ресурсы</u></color>, которые используются как <color=#000C3A><u>Строительные Материалы</u></color> при создании новых <color=#000C3A><u>Зданий</u></color>.<br>Разные уровни <color=#000C3A><u>Зданий</u></color> потребуют различные типы <color=#000C3A><u>Ресурсов</u></color>.<br>Обязательно держите в запасе <color=#000C3A><u>Ресурсы</u></color>, чтобы достигнуть продвижения в игре.",,,,,
info_ui_top_bar_num_miners_tooltip,Это все ваши текущие <color=#000C3A><u>Шахтёры</u></color> на этом <color=#000C3A><u>Уровне</u></color>,,,,,
,,,,,,
info_ui_bottom_right_box_train_arrival,Поезд прибудет через: ,,,,,
,,,,,,
info_ui_mechine_blueprint_state_waiting,Ждем механика!,,,,,
info_ui_mechine_blueprint_state_constructing,Строится!,,,,,
,,,,,,
info_ui_miner_action_header,Статус:,,,,,
info_ui_miner_action_dig,Копает,,,,,
info_ui_miner_action_reinforce,Укрепляет Стену,,,,,
info_ui_miner_action_pick_rubble,Разбирает Завалы,,,,,
info_ui_miner_action_mine_special_soil,Добывает Ресурсы,,,,,
info_ui_miner_action_wander,Бродит вокруг,,,,,
info_ui_miner_action_unearth,Раскапывает Часть Ракеты,,,,,
info_ui_miner_action_unrecruiting,Идет на перерыв,,,,,
info_ui_miner_action_escape,Убегает от Опасности,,,,,
info_ui_miner_action_mining,Добывает Ресурсы,,,,,
info_ui_miner_action_deliver_part,Доставляет Часть Машины,,,,,
info_ui_miner_action_empty_extractor,Опустошает Добытчик,,,,,
info_ui_miner_action_harvest,Собирает,,,,,
info_ui_miner_action_burn_mushroom,Сжигает Жуть,,,,,
info_ui_miner_action_kill_enemy,Сражается со Врагами,,,,,
info_ui_miner_action_idle,Бездействует,,,,,
info_ui_miner_knocked_out,Без сознания,,,,,
info_ui_miner_rent_equipment,Получает Экипировку,,,,,
info_ui_miner_back_to_quarter,Возвращается к станции Гвардии,,,,,
info_ui_miner_install_machine,Устанавливает Машину,,,,,
info_ui_miner_repair_machine,Ремонитурует Машину,,,,,
info_ui_miner_repair_turret,Ремонтирует Турель,,,,,
info_ui_miner_revive,Возрождается,,,,,
,,,,,,
info_ui_quarter_info_header,Информация о станции:,,,,,
info_ui_quarter_tiles_header,Плитки,,,,,
info_ui_quarter_next_miner,"Разместите ещё <color=#000C3A><u>+{0}</u></color> <color=#000C3A><u>Плиток</u></color>,чтобы получить <color=#000C3A><u>+1</u></color> дополнительного <color=#000C3A><u>{1}</u></color>.",,,,,
,,,,,,
info_ui_farm_info_header,Информация о ферме:,,,,,
info_ui_farm_growth_time,Цикл роста:,,,,,
,,,,,,
info_ui_blueprint_found_claim_button,Получить,,,,,
,,,,,,
info_ui_tooltip_miners_mine_floor_1,Уровень шахты 1,,,,,
info_ui_tooltip_miners_mine_floor_2,Уровень шахты 2,,,,,
info_ui_tooltip_miners_mine_floor_3,Уровень шахты 3,,,,,
info_ui_tooltip_miners_recruit_cap,Всего рабочих = {0}/{1},,,,,
info_ui_tooltip_miners_recruited,Нанятые:,10,,,,
info_ui_tooltip_miners_supported,Поддерживаемые:,10,,,,
info_ui_tooltip_miners_idle,Свободные:,10,,,,
info_ui_tooltip_miners_total_workers,Всего рабочих = {0}/{1},,,,,
,,,,,,
info_ui_tooltip_build_resources_total,Всего:,10,,,,
info_ui_tooltip_build_resources_max_storage,Максимальное хранение:,16,,,,
,,,,,,
,,,,,,
citizen_class_worker_name,Рабочие,,,,,
citizen_class_scientist_name,Учёные,,,,,
citizen_class_engineer_name,Инженеры,,,,,
citizen_class_royalists_name,Аристобот,,,,,
,,,,,,
resource_name_gold,Деньги,,,,,
resource_name_logs,Дерево,,,,,
resource_name_steam,Пар,,,,,
resource_name_water,Вода,,,,,
resource_name_cactus_water,Кактусовая Вода,,,,,
resource_name_charcoal,Древесный уголь,,,,,
resource_name_boards,Доски,,,,,
resource_name_crude_oil,Сырая нефть,,,,,
resource_name_spirits,Лунник,,,,,
resource_name_gas,Газ,,,,,
resource_name_oil_sand,Нефтяной песок,,,,,
resource_name_pickaxes,Кирки,,,,,
resource_name_robo_burger_n_shake,Робо-Бургер,,,,,
resource_name_robo_steak,Робо-Стэйк,,,,,
resource_name_scrap,Металлолом,,,,,
resource_name_spare_parts,Запасные части,,,,,
resource_name_dirty_water,Грязная вода,,,,,
resource_name_art,Искусство,,,,,
resource_name_black_powder,Порох,,,,,
resource_name_carbide_drill_bit,Твердосплавные сверла,,,,,
resource_name_diesel,Дизель,,,,,
resource_name_glass_wool,Стекловолокно,,,,,
resource_name_guns,Оружие,,,,,
resource_name_hats,Шапки,,,,,
resource_name_oil,Нефть,,,,,
resource_name_rocket_fuel,Ракетное топливо,,,,,
resource_name_rubies,Рубины,,,,,
resource_name_sand,Песок,,,,,
resource_name_sulfur,Сера,,,,,
resource_name_tools,Инструменты,,,,,
resource_name_vectron_parts,Запчасти Вектрона,,,,,
resource_name_sheet_metal,Листовой Металл,,,,,
resource_name_vectron_scrap,Металлолом Вектрона,,,,,
resource_name_water_distilled,Дистиллированная вода,,,,,
resource_name_plastics,Пластик,,,,,
resource_name_ironium,Железо,,,,,
resource_name_glass_ware,Стеклотара,,,,,
resource_name_robo_cuisine,Робо-Кулинария,,,,,
resource_name_plastishrooms,Пластигрибы,,,,,
resource_name_sparkling_diesel,Игристый Дизель,,,,,
resource_name_lab_equipment,Лабораторное оборудование,,,,,
resource_name_oil_paint,Масляная краска,,,,,
resource_name_crude_jet_fuel,Топлегриб,,,,,
resource_name_trees,Деревья,,,,,
resource_name_cactii,Кактус,,,,,
resource_name_rough_sand,Грубый Песок,,,,,
resource_name_wild_plastishrooms,Дикие Пластигрибы,,,,,
resource_name_wild_jetshrooms,Дикие Топлегрибы,,,,,
resource_name_sludge_water,Шламовая Вода,,,,,
resource_name_natural_gas,Природный газ,,,,,
resource_name_raw_ironium,Рудное Железо,,,,,
resource_name_raw_scrap,Рудной Металлолом,,,,,
resource_name_vectron_fragments,Фрагменты Вектрона,,,,,
,,,,,,
resource_found_in_mine_scrap,Металлолом - Встречается в Шахте.,,,,,
resource_found_in_mine_ironium,Железо - Встречается в Шахте.,,,,,
resource_found_in_mine_vectron_scrap,Металлолом Вектрона - Встречается в Шахте.,,,,,
resource_found_in_mine_plastishrooms,Пластигрибы - Встречаются в Шахте.,,,,,
resource_found_in_mine_jetshrooms,Топлегриб - Встречается в Шахте.,,,,,
resource_found_in_mine_dirty_water,Грязная вода - Встречается в Шахте.,,,,,
resource_found_in_mine_oil,Нефть - Встречается в Шахте.,,,,,
resource_found_in_mine_gas,Газ - Встречается в Шахте.,,,,,
,,,,,,
resource_tooltip_name_gold_nuggets,Самородки золота,,,,,
resource_tooltip_name_gold,Деньги,,,,,
resource_tooltip_name_logs,Бревна,,,,,
resource_tooltip_name_steam,Пар,,,,,
resource_tooltip_name_water,Вода,,,,,
resource_tooltip_name_cactus_water,Кактусовая вода,,,,,
resource_tooltip_name_charcoal,Древесный уголь,,,,,
resource_tooltip_name_boards,Доски,,,,,
resource_tooltip_name_crude_oil,Сырая нефть,,,,,
resource_tooltip_name_spirits,Лунник,,,,,
resource_tooltip_name_gas,Газ,,,,,
resource_tooltip_name_oil_sand,Нефтяной песок,,,,,
resource_tooltip_name_pickaxes,Кирки,,,,,
resource_tooltip_name_robo_burger_n_shake,Робо-Бургеры,,,,,
resource_tooltip_name_robo_steak,Робо-Стэйк,,,,,
resource_tooltip_name_scrap,Металлолом,,,,,
resource_tooltip_name_spare_parts,Запасные части,,,,,
resource_tooltip_name_dirty_water,Грязная вода,,,,,
resource_tooltip_name_art,Искусство,,,,,
resource_tooltip_name_black_powder,Порох,,,,,
resource_tooltip_name_carbide_drill_bit,Твердосплавные буровые свёрла,,,,,
resource_tooltip_name_diesel,Дизель,,,,,
resource_tooltip_name_glass_wool,Стекловолокно,,,,,
resource_tooltip_name_guns,Оружие,,,,,
resource_tooltip_name_hats,Шапки,,,,,
resource_tooltip_name_oil,Нефть,,,,,
resource_tooltip_name_rocket_fuel,Ракетное топливо,,,,,
resource_tooltip_name_rubies,Рубины,,,,,
resource_tooltip_name_sand,Песок,,,,,
resource_tooltip_name_sulfur,Сера,,,,,
resource_tooltip_name_tools,Инструменты,,,,,
resource_tooltip_name_vectron_parts,Части вектрона,,,,,
resource_tooltip_name_sheet_metal,Листовой металл,,,,,
resource_tooltip_name_vectron_scrap,Вектронский металлолом,,,,,
resource_tooltip_name_plastics,Пластик,,,,,
resource_tooltip_name_ironium,Металл,,,,,
resource_tooltip_name_glass_ware,Стеклотара,,,,,
resource_tooltip_name_robo_cuisine,Робо-Кулинария,,,,,
resource_tooltip_name_plastishrooms,Пластигрибы,,,,,
resource_tooltip_name_sparkling_diesel,Игристый Дизель,,,,,
resource_tooltip_name_lab_equipment,Лабораторное Оборудование,,,,,
resource_tooltip_name_oil_paint,Масляная Краска,,,,,
resource_tooltip_name_crude_jet_fuel,Топлегриб,,,,,
resource_tooltip_name_trees,Деревья,,,,,
resource_tooltip_name_cactii,Кактус,,,,,
resource_tooltip_name_rough_sand,Грубый Песок,,,,,
resource_tooltip_name_wild_plastishrooms,Дикие Пластигрибы,,,,,
resource_tooltip_name_wild_jetshrooms,Дикие Топлегрибы,,,,,
resource_tooltip_name_sludge_water,Шламовая Вода,,,,,
resource_tooltip_name_natural_gas,Природный Газ,,,,,
resource_tooltip_name_raw_ironium,Рудное Железо,,,,,
resource_tooltip_name_raw_scrap,Рудной Металлолом,,,,,
resource_tooltip_name_vectron_fragments,Фрагменты Вектрона,,,,,
,,,,,,
resource_tooltip_desc_gold_nuggets,Золотые самородки требуются для строительства станций и сооружений в шахте.,,,,,
resource_tooltip_desc_gold,Это ваша основная валюта.,,,,,
resource_tooltip_desc_logs,"Бревна превращаются в доски, которые используются для создания большинства зданий.",,,,,
resource_tooltip_desc_steam,Пар используется для повышения эффективности перерабатывающих заводов.,,,,,
resource_tooltip_desc_water,Очищенная вода всегда пользуется большим спросом у наших стимботов.,,,,,
resource_tooltip_desc_cactus_water,Кактусовая Вода удовлетворяет потребность рабочего класса.,,,,,
resource_tooltip_desc_charcoal,"Древесный Уголь - это полезный ресурс который среди прочего может быть использован производства пара.",,,,,
resource_tooltip_desc_boards,Доски используются для строительства.,,,,,
resource_tooltip_desc_crude_oil,"Сырую Нефть можно найти только в шахте. Она может быть превращена в топливо, которое используют инженеры.",,,,,
resource_tooltip_desc_spirits,"Лунник напиток, который используется для многих вещей, и уж точно не только для бара в казино.",,,,,
resource_tooltip_desc_gas,Газ можно найти только в шахте. Это необходимый компонент для изготовления пороха.,,,,,
resource_tooltip_desc_oil_sand,"Нефтяной песок может быть переработан в сырую нефть, которая используется инженерами. ",,,,,
resource_tooltip_desc_pickaxes,Кирки - единственный способ копать песчаник.,,,,,
resource_tooltip_desc_robo_burger_n_shake,Робо Бургеры обеспечат инженеров питанием.,,,,,
resource_tooltip_desc_robo_steak,Робо стейк используется для приготовления Робо бургера.,,,,,
resource_tooltip_desc_scrap,Металлолом можно найти только в шахте. Он полезен для создания запасных частей и инструментов.,,,,,
resource_tooltip_desc_spare_parts,Запасные части используются инженерами.,,,,,
resource_tooltip_desc_dirty_water,Грязная вода может быть найдена только в шахте и может быть переработана в очищенную воду.,,,,,
resource_tooltip_desc_art,Искусство вдохновляет ученых на создание лучших изобретений.,,,,,
resource_tooltip_desc_black_powder,"Порох используется для изготовления оружия, которое помогает обеспечить безопасность ваших шахтеров.",,,,,
resource_tooltip_desc_carbide_drill_bit,Твердосплавные буры позволяют копать гранит.,,,,,
resource_tooltip_desc_diesel,Дизель может быть использован для производства игристого дизельного топлива для ученых.,,,,,
resource_tooltip_desc_glass_wool,Стекловолокно используется для изготовления шляп и других вещей.,,,,,
resource_tooltip_desc_glass_ware,Стеклотара полезна для Инженеров.,,,,,
resource_tooltip_desc_guns,Пушки используется для оснащения Гвардейцев оружием.,,,,,
resource_tooltip_desc_hats,Шапки важны для Аристоботов.,,,,,
resource_tooltip_desc_oil,"Нефть используется для многих целей, например для создания дизельного топлива и краски.",,,,,
resource_tooltip_desc_rocket_fuel,Ракетное топливо необходимо для того чтобы покинуть планету.,,,,,
resource_tooltip_desc_rubies,Рубины используются для покупки Предметов на железнодорожной станции.,,,,,
resource_tooltip_desc_sand,Песок используется для создания изделий из стекла.,,,,,
resource_tooltip_desc_sulfur,Сера позволяет создавать порох.,,,,,
resource_tooltip_desc_tools,"Инструменты используются для строительства станций и сооружений в шахте, а также для модернизации их.",,,,,
resource_tooltip_desc_vectron_parts,Детали вектрона могут быть переработаны в технологию вектрона.,,,,,
resource_tooltip_desc_sheet_metal,Листовой металл полезен для строительства зданий более высокого уровня и модернизации домов.,,,,,
resource_tooltip_desc_vectron_scrap,Металлолом вектрона можно найти только в шахте. Он используется для создания деталей Вектрона. ,,,,,
resource_tooltip_desc_plastics,Пластик необходим для создания зданий более высокого уровня для Аристоботов.,,,,,
resource_tooltip_desc_ironium,Железо можно найти только в Шахте и оно необходимо в современном строительстве.,,,,,
resource_tooltip_desc_robo_cuisine,Робо-кулинария - верный способ умиротворить Аристоботов.,,,,,
resource_tooltip_desc_plastishrooms,ПЛАСТИГРИБЫ можно найти только в Шахте. Они могут быть переработаны в пластик.,,,,,
resource_tooltip_desc_sparkling_diesel,Искрящий дизель полезен для Учёных.,,,,,
resource_tooltip_desc_lab_equipment,Лабораторное оборудование используется Учёными.,,,,,
resource_tooltip_desc_oil_paint,Маслянные Краски позволяют художественной студии производить искусство.,,,,,
resource_tooltip_desc_crude_jet_fuel,ТОПЛЕГРИБЫ можно найти только в шахте. Их можно превратить в ракетное топливо.,,,,,
resource_tooltip_desc_trees,Деревья используются Лесоповалом для создания брёвен.,,,,,
resource_tooltip_desc_cactii,Кактусы выжимают для сока на Кактусовой ферме.,,,,,
resource_tooltip_desc_rough_sand,Грубый песок тщательно просеивается Просеивателем песка.,,,,,
resource_tooltip_desc_wild_plastishrooms,Дикие Пластигрибы можно собирать и перерабатывать в пластик.,,,,,
resource_tooltip_desc_wild_jetshrooms,Дикие Топлегрибы можно собирать и превращать в топливо.,,,,,
resource_tooltip_desc_sludge_water,Шламовая Вода будет выкачиваться из скрытого месторождения.,,,,,
resource_tooltip_desc_natural_gas,Природный газ добывается и перерабатывается в газ.,,,,,
resource_tooltip_desc_raw_ironium,Рудное Железо добывается и превращается в пригодную железную руду.,,,,,
resource_tooltip_desc_raw_scrap,Рудной Металлолом добывается и превращается в пригодный металлолом.,,,,,
resource_tooltip_desc_vectron_fragments,Фрагменты Вектрона добываются и объединяются в Вектронский Металлолом.,,,,,
,,,,,,
resource_tile_name_gas,Газ,,,,,
resource_tile_name_bedrock,Коренная порода,,,,,
resource_tile_name_brittle_bedrock,Потрескавшаяся Коренная Порода,,,,,
resource_tile_name_bug_soil,Вражеская Территория,,,,,
resource_tile_name_gold_nugget_vein,Золотые самородки,,,,,
resource_tile_name_dirt,Земля,,,,,
resource_tile_name_limestone,Песчаник,,,,,
resource_tile_name_oil_sand_finite,Нефтяной Песок,,,,,
resource_tile_name_oil_sand,Залежь Нефтяного Песка,,,,,
resource_tile_name_tool_finite,Залежь Инструментов,,,,,
resource_tile_name_scrap_vein,Залежь Металлолома,,,,,
resource_tile_name_soil_debris,Загрязненная Почва,,,,,
resource_tile_name_granite,Гранит,,,,,
resource_tile_name_oil_sand_one_time,Нефтяной Песок,,,,,
resource_tile_name_ironium_vein,Залежь Железа,,,,,
resource_tile_name_refill,Грязь,,,,,
resource_tile_name_ruby_vein,Залежь рубинов,,,,,
resource_tile_name_scrap_vein_one_time,Залежь Металлолома,,,,,
resource_tile_name_vectron_scrap,Залежь Вектрона,,,,,
resource_tile_name_sickness,Хрупкая Порода,,,,,
resource_tile_name_ground_source_oil,Залежь Нефти,,,,,
resource_tile_name_ground_source_gas,Залежь Газа,,,,,
resource_tile_name_ground_source_dirty_water,Источник Грязной Воды,,,,,
resource_tile_name_vectron_vein_finite,Вектрон,,,,,
resource_tile_name_fertile_soil,Плодородная почва,,,,,
,,,,,,
farm_field_tool_place_field,Установите поле: ,,,,,
farm_field_tool_max_fields,Максимум полей,,,,,
farm_field_tool_cant_afford,Мы не можем позволить себе поле,,,,,
farm_field_tool_invalid_placement,Нет близлежащей Фермы,,,,,
farm_field_tool_invalid_placement_cliffs,Поле не может перекрывать края скал,,,,,
,,,,,,
mine_bridge_invalid_placement,Невозможно удалить мосты с врагами.,,,,,
,,,,,,
upgrade_ui_generic_costs,Стоимость Улучшения,,,,,
upgrade_ui_generic_new_upkeeps,Новое обслуживание,,,,,
upgrade_ui_generic_upgrade,Улучшить!,,,,,
upgrade_ui_generic_cant_upgrade_no_resources,- Вы не можете себе позволить Улучшение!,,,,,
upgrade_ui_generic_cant_upgrade_low_milestone,- Не может быть улучшено пока Майлстоун ниже <color=#00FFF1><u>{0}-го</u></color>!,,,,,
,,,,,,
upgrade_ui_residential_header,Улучшите жилище,,,,,
upgrade_ui_residential_low_happiness,"- Вашим жилищам необходим <color=#00FFF1><u>УРОВЕНЬ УДОВЛЕТВОРЁННОСТИ</u></color> в <color=#00FFF1><u>{0}%</u></color>, чтобы улучшиться!",,,,,
upgrade_ui_residential_next_tier_low_happiness,НЕ ИСПОЛЬЗУЕТСЯ,,,,,
upgrade_ui_residential_residential_conversion_tooltip,НЕ ИСПОЛЬЗУЕТСЯ,,,,,
upgrade_ui_residential_upgrade_button_tooltip,Улучшите жилище,,,,,
upgrade_ui_residential_happiness_box_header,Уровень Удовлетворенности,,,,,
upgrade_ui_residential_press_upgrade,Выберите для улучшения <color=#00FFF1><u>{0}</u></color> в <color=#00FFF1><u>{1}</u></color>,,,,,
upgrade_ui_residential_requires_header,Требования:,,,,,
,,,,,,
upgrade_ui_mineshaft_cap_increase_header,[OUTDATED]Resource cap increase,,,,,
upgrade_ui_mineshaft_header,[OUTDATED]Upgrade Mineshaft,,,,,
,,,,,,
upgrade_ui_steam_furnace_header,Улучшение Паровой Печи,,,,,
,,,,,,
upgrade_ui_warehouse_header,[OUTDATED]Upgrade warehouse,,,,,
upgrade_ui_warehouse_button,[OUTDATED]Upgrade to allow for more simultaneous deliveries,,,,,
upgrade_ui_warehouse_loading_bay_icons,[OUTDATED]Increase the number of loading bays.,,,,,
,,,,,,
milestone_ui_population_count_current,Сейчас,,,,,
milestone_ui_population_count_required,Необходимо,,,,,
,,,,,,
milestone_info_name_00,Начальный Майлcтоун,,,,,
milestone_info_name_01,Майлcтоун 1,,,,,
milestone_info_name_02,Майлcтоун 2,,,,,
milestone_info_name_03,Майлcтоун 3,,,,,
milestone_info_name_04,Майлcтоун 4,,,,,
milestone_info_name_05,Майлcтоун 5,,,,,
milestone_info_name_06,Майлcтоун 6,,,,,
milestone_info_name_07,Майлcтоун 7,,,,,
milestone_info_name_08,Майлcтоун 8,,,,,
milestone_info_name_09,Майлcтоун 9,,,,,
milestone_info_name_10,Майлcтоун 10,,,,,
milestone_info_name_11,Майлcтоун 11,,,,,
milestone_info_name_12,Майлcтоун 12,,,,,
milestone_info_name_13,Майлcтоун 13,,,,,
milestone_info_name_14,Майлcтоун 14,,,,,
milestone_info_name_15,Майлcтоун 15,,,,,
milestone_info_name_16,Майлcтоун 16,,,,,
milestone_info_name_17,Майлcтоун 17,,,,,
milestone_info_name_18,Майлcтоун 18,,,,,
milestone_info_name_19,Майлcтоун 19,,,,,
milestone_info_promt_milestone,Майлcтоун,,,,,
milestone_info_missing_pop_foreshadow,Требование для разблокировки:,,,,,
milestone_info_promt_header,Разблокирован Новый,,,,,
,,,,,,
blueprint_name_gas_extractor,[OUTDATED]Machine Blueprint #10,,,,,
blueprint_name_oil_sand_extractor,[OUTDATED]Machine Blueprint #8,,,,,
blueprint_name_radar,[OUTDATED]Machine Blueprint #5,,,,,
blueprint_name_scrap_extractor,[OUTDATED]Machine Blueprint #2,,,,,
blueprint_name_simple_door,[OUTDATED]Machine Blueprint #13,,,,,
blueprint_name_worm_repellant,[OUTDATED]Machine Blueprint #3,,,,,
blueprint_name_simple_bridge,[OUTDATED]Machine Blueprint #1,,,,,
blueprint_name_speed_vent_machine,Чертеж Устройства #2,,,,,
blueprint_name_dirty_water_extractor,[OUTDATED]Machine Blueprint #7,,,,,
blueprint_name_ironium_extractor,[OUTDATED]Machine Blueprint #6,,,,,
blueprint_name_vectron_extractor,[OUTDATED]Machine Blueprint #9,,,,,
blueprint_name_radar_machine,[OUTDATED]Machine Blueprint #5,,,,,
blueprint_name_teleporter,Чертеж Устройства #3,,,,,
blueprint_name_conveyor,Чертеж Устройства #1,,,,,
,,,,,,
blueprint_foreshadow_tooltip_mine_floor_1,{0}<br><br>Найден на 1-ом этаже шахты,,,,,
blueprint_foreshadow_tooltip_mine_floor_2,{0}<br><br>Найден на 2-ом этаже шахты,,,,,
blueprint_foreshadow_tooltip_mine_floor_3,{0}<br><br>Найден на 3-ом этаже шахты,,,,,
,,,,,,
,,,,,,
agent_name_miner,Шахтер,,,,,
agent_name_citizen,Гражданин,,,,,
agent_name_guard,Гвардеец ,,,,,
agent_name_flamethrower,Огнеметчик,,,,,
agent_name_prospector,Исследователь,,,,,
agent_name_mechanic,Механик,,,,,
,,,,,,
agent_desc_miner,Шахтер копает и укрепляет стены шахты.,,,,,
agent_desc_citizen,Переносчик осуществляет доставку в городе.,,,,,
agent_desc_guard,Гвардеец защищает шахту от угроз.,,,,,
agent_desc_flamethrower,"Гвардеец, владеющий Огнеметом, способен сжигать Жуть на пути.",,,,,
agent_desc_prospector,Исследователь занимается поставками руды и грибов.,,,,,
agent_desc_mechanic,Механик устанавливает и ремонтирует машины и оживляет раненных Стимботов.,,,,,
,,,,,,
name_structure_miner_replicator,[OUTDATED]Miner Replicator,,,,,
name_structure_oil_refinery,Нефтепереработка,,,,,
name_structure_sickbay,Лазарет,,,,,
name_structure_workshop,Мастерская,,,,,
name_structure_surveillance_room,Наблюдательный пункт,,,,,
name_structure_radar_machine,Радарная Установка,,,,,
name_structure_armory,Оружейный Склад,,,,,
name_floor_index_0,Город,,,,,
name_floor_index_1,Уровень шахты 1,,,,,
name_floor_index_2,Уровень шахты 2,,,,,
name_floor_index_3,Уровень шахты 3,,,,,
name_floor_index_4,Уровень шахты 4,,,,,
,,,,,,
name_structure_forest_collector,Лесоповал,,,,,
name_structure_burger_meister,Бургер Мейстер,,,,,
name_structure_cattle_farm,Скотоводческая ферма,,,,,
name_structure_charcoal_kiln,Углевыжигательная печь,,,,,
name_structure_moonshiners,Лунник,,,,,
name_structure_pickaxe_maker,Изготовитель Кирок,,,,,
name_structure_spare_part_maker,Завод Запасных Частей,,,,,
name_structure_steam_furnace,Паровая Печь,,,,,
name_structure_decoration_cactus,Кактус,,,,,
name_structure_decoration_sign,Знак,,,,,
name_structure_decoration_ruin,Руины,,,,,
name_structure_moisture_farm,Ферма кактусов,,,,,
name_structure_engineers_residential,Жилье Инженеров,,,,,
name_structure_scientist_residential,Жилье Учёных,,,,,
name_structure_worker_residential,Жилье рабочих,,,,,
name_structure_marketplace,Магазин,,,,,
name_structure_Mineshaft,Шахта,,,,,
name_structure_broken_mineshaft,Заброшенная шахта,,,,,
name_structure_saloon,Бар,,,,,
name_structure_service_shop,Сервисный центр,,,,,
name_structure_stable_office,Основной Офис,,,,,
name_structure_train_station_broken,Заброшенная Железнодорожная Станция,,,,,
name_structure_train_station_fixed,Железнодорожная станция,,,,,
name_structure_warehouse,Склад,,,,,
name_structure_plastishroom_farm,Ферма Пластигрибов,,,,,
name_structure_refill_tile,Пополняемая плитка,,,,,
name_structure_ironium_extractor,Добытчик Железа,,,,,
name_structure_miner_quarters,Станция Шахтёров,,,,,
name_structure_carrier_quarters,Станция Исследователей,,,,,
name_structure_guard_quarters,Станция Гвардии,,,,,
name_structure_mechanic_quarters,Станция Механиков,,,,,
name_structure_pillar,Опора,,,,,
name_structure_gas_extractor,Добытчик Газа,,,,,
name_structure_oil_sand_extractor,Добытчик Нефти,,,,,
name_structure_scrap_extractor,Добытчик Металлолома,,,,,
name_structure_door,Калитка,,,,,
name_structure_thumper,Топотун,,,,,
name_structure_bridge,Мост,,,,,
name_structure_dirt_road,Грунтовая Дорога,,,,,
name_structure_paved_road,Асфальтированная дорога,,,,,
name_structure_maglev_road,Маглевская дорога,,,,,
name_structure_mineshaft_next_floor_broken,Сломанная Штольня,,,,,
name_structure_mineshaft_next_floor_fixed,Штольня,,,,,
name_structure_mill,Пилорама,,,,,
name_structure_artist,Художественная мастерская,,,,,
name_structure_black_powder_maker,Изготовитель Чёрного Пороха,,,,,
name_structure_carburizing_plant,Карбюризационный Завод,,,,,
name_structure_diesel_plant,Дизельный Завод,,,,,
name_structure_sparkling_diesel_manufacturer,Изготовитель Игристого Дизеля,,,,,
name_structure_gunsmith,Оружейная Мастерская,,,,,
name_structure_hatmaker,Мастерская Шляпника,,,,,
name_structure_hydrogen_facility,Водородный Завод,,,,,
name_structure_polymerisation_plant,Полимеризационный Завод,,,,,
name_structure_retrofit_shop,Цех Модернизации,,,,,
name_structure_name_structure_rocket,Космодром,,,,,
